id,name,label
1,Abia,abia
2,Adamawa,adamawa
3,Akwa-Ibom,akwa-ibom
4,Anambra,anambra
5,Bauchi,bauchi
6,Bayelsa,bayelsa
7,Benue,benue
8,Borno,borno
9,Cross-River,cross-river
10,Delta,delta
11,Ebonyi,ebonyi
12,Edo,edo
13,Ekiti,ekiti
14,Enugu,enugu
15,FCT,fct
16,Gombe,gombe
17,Imo,imo
18,Jigawa,jigawa
19,Kaduna,kaduna
20,Kano,kano
21,Katsina,katsina
22,Kebbi,kebbi
23,Kogi,kogi
24,Kwara,kwara
25,Lagos,lagos
26,Nasarawa,nasarawa
27,Niger,niger
28,Ogun,ogun
29,Ondo,ondo
30,Osun,osun
31,Oyo,oyo
32,Plateau,plateau
33,Rivers,rivers
34,Sokoto,sokoto
35,Taraba,taraba
36,Yobe,yobe
37,Zamfara,zamfara
